#Monitoring-Site	Remote-Site	?	Oct2014	Sep2014	Aug2014	Jul2014	Jun2014	May2014	Apr2014	Mar2014	Feb2014	Jan2014	Dec2013	Nov2013	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
BD.DAFFODILVARSITY.EDU.PINGER	AF.MOD.GOV.AF	?B	770.065	764.278	763.650	754.205	.	.	769.784	792.493	783.138	772.765	773.596	785.358	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.mod.gov.af	AF	South_Asia
BD.DAFFODILVARSITY.EDU.PINGER	AL.ALBANIAONLINE.NET.N1	?B	215.313	234.935	225.357	226.208	.	.	189.365	203.943	238.672	225.881	218.543	224.115	pinger.daffodilvarsity.edu.bd	BD	South_Asia	aol1.albaniaonline.net	NET	Balkans
BD.DAFFODILVARSITY.EDU.PINGER	AM.HRAPARAK.N1	?B	387.989	393.912	384.102	258.279	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.hraparak.am	AM	Central_Asia
BD.DAFFODILVARSITY.EDU.PINGER	AO.NEXUS.N1	?B	336.808	347.588	.	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www-05.nexus.ao	AO	Africa
BD.DAFFODILVARSITY.EDU.PINGER	AU.AARNET.ADELAIDE.N1	?B	321.170	335.107	376.461	337.609	.	.	456.498	462.284	448.705	434.432	443.511	427.055	pinger.daffodilvarsity.edu.bd	BD	South_Asia	adl-a-ext1.aarnet.net.au	AU	Oceania
BD.DAFFODILVARSITY.EDU.PINGER	AU.AARNET.BRISBANE.NET	?B	311.571	326.355	369.031	330.424	.	.	452.816	458.145	445.166	440.093	435.431	420.773	pinger.daffodilvarsity.edu.bd	BD	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
BD.DAFFODILVARSITY.EDU.PINGER	AU.AARNET.CANBERRA.NET	?B	301.998	313.450	350.026	311.306	.	.	433.474	455.162	447.101	424.648	436.966	412.609	pinger.daffodilvarsity.edu.bd	BD	South_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
BD.DAFFODILVARSITY.EDU.PINGER	AU.AARNET.HOBART.N2	?B	335.291	342.242	376.428	337.905	.	.	458.375	464.810	451.344	448.075	453.162	428.064	pinger.daffodilvarsity.edu.bd	BD	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
BD.DAFFODILVARSITY.EDU.PINGER	AU.AARNET.PERTH.NET	?B	347.689	359.763	395.625	356.825	.	.	476.890	485.654	475.225	466.723	465.381	453.007	pinger.daffodilvarsity.edu.bd	BD	South_Asia	per-a-ext1.aarnet.net.au	AU	Oceania
BD.DAFFODILVARSITY.EDU.PINGER	AZ.AZ-IX.NET.N1	?B	262.335	270.325	271.705	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	az-ix.net	NET	Central_Asia
BD.DAFFODILVARSITY.EDU.PINGER	BA.UTIC.NET.N1	?B	230.473	232.136	227.915	224.827	.	.	231.323	228.623	258.279	235.446	261.176	242.861	pinger.daffodilvarsity.edu.bd	BD	South_Asia	linhost2.utic.net.ba	BA	Balkans
BD.DAFFODILVARSITY.EDU.PINGER	BD.DAFFODILVARSITY.EDU.WWW	?B	1.778	1.771	1.754	1.755	.	.	6.223	9.114	3.968	4.294	4.558	6.742	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.daffodilvarsity.edu.bd	BD	South_Asia
BD.DAFFODILVARSITY.EDU.PINGER	BF.UNIV-KOUDOUGOU.WWW	?B	1150.622	1193.846	655.907	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.univ-koudougou.bf	BF	Africa
BD.DAFFODILVARSITY.EDU.PINGER	BF.UNIV-OUAGA.N1	?M	485.347	307.971	312.849	335.045	.	.	547.245	527.398	642.362	850.391	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.univ-ouaga.bf	BF	Africa
BD.DAFFODILVARSITY.EDU.PINGER	BI.ASSEMBLEE.WWW	?B	360.106	371.020	.	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.assemblee.bi	BI	Africa
BD.DAFFODILVARSITY.EDU.PINGER	BJ.GOUV.N1	?B	260.779	268.160	336.131	399.901	.	.	307.045	298.308	342.577	315.991	332.715	339.589	pinger.daffodilvarsity.edu.bd	BD	South_Asia	waib.gouv.bj	BJ	Africa
BD.DAFFODILVARSITY.EDU.PINGER	BO.UMSS.EDU.N1	?M	382.316	415.968	434.754	435.252	.	.	506.169	492.757	455.746	457.872	486.527	472.934	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.umss.edu.bo	BO	Latin_America
BD.DAFFODILVARSITY.EDU.PINGER	BR.UNESP.N1	?M	447.276	461.951	477.854	452.775	.	.	489.338	493.397	481.513	453.292	458.524	451.519	pinger.daffodilvarsity.edu.bd	BD	South_Asia	pinger.unesp.br	BR	Latin_America
BD.DAFFODILVARSITY.EDU.PINGER	BW.GOV.N1	?B	352.179	379.656	.	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.gov.bw	BW	Africa
BD.DAFFODILVARSITY.EDU.PINGER	BY.MTEC.N1	?B	250.475	263.512	279.224	289.107	.	.	292.873	294.495	308.324	252.278	259.027	257.215	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.mtec.by	BY	Europe
BD.DAFFODILVARSITY.EDU.PINGER	CA.CARLETON.N1	?B	299.240	337.750	332.744	345.854	.	.	347.132	340.788	363.276	352.377	354.487	342.809	pinger.daffodilvarsity.edu.bd	BD	South_Asia	ftp.physics.carleton.ca	CA	North_America
BD.DAFFODILVARSITY.EDU.PINGER	CA.TRIUMF.N4	?M	285.830	299.178	287.404	287.127	.	.	295.360	313.205	323.827	313.345	316.576	319.262	pinger.daffodilvarsity.edu.bd	BD	South_Asia	sitka.triumf.ca	CA	North_America
BD.DAFFODILVARSITY.EDU.PINGER	CD.AFRINET.N1	?B	386.656	401.846	.	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.afrinet.cd	CD	Africa
BD.DAFFODILVARSITY.EDU.PINGER	CH.CERN.N1	?B	188.355	195.819	215.072	258.793	.	.	294.231	227.681	336.250	401.761	399.902	348.792	pinger.daffodilvarsity.edu.bd	BD	South_Asia	ping.cern.ch	CH	Europe
BD.DAFFODILVARSITY.EDU.PINGER	CH.EPFL.N1	?B	197.930	204.632	200.801	201.254	.	.	211.767	202.842	231.888	211.901	219.750	219.113	pinger.daffodilvarsity.edu.bd	BD	South_Asia	eltca1.epfl.ch	CH	Europe
BD.DAFFODILVARSITY.EDU.PINGER	CI.NIC.N1	?B	244.551	255.557	271.793	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.nic.ci	CI	Africa
BD.DAFFODILVARSITY.EDU.PINGER	CM.ANOR.WWW	?B	315.818	307.735	.	.	.	.	.	.	.	.	.	.	pinger.daffodilvarsity.edu.bd	BD	South_Asia	www.anor.cm	CM	Africa
BD.DAFFODILVARSITY.EDU.PINGER	CN.IHEP.AC.N2	?B	174.068	178.905	290.431	255.028	.	.	450.642	445.052	313.674	326.423	338.950	354.780	pinger.daffodilvarsity.edu.bd	BD	South_Asia	ihep.ac.cn	CN	East_Asia
BD.DAFFODILVARSITY.EDU.PINGER	CN.USTC.LCG.PS.EDU.N1	?B	388.863	266.651	330.766	241.008	.	.	235.296	.	.	.	.	266.190	pinger.daffodilvarsity.edu.bd	BD	South_Asia	ps.lcg.ustc.edu.cn	CN	East_Asia
